Questions,Category
"You are given a training set of five real-valued points and their 2-class classifications (+or -): (1.5, +), (3.2, +), (5.4, -), (6.2, -), (8.5, -). [A] What is the predicted class for a test example at point 4.0 using 3-NN? [B] What is the decision boundary associated with this Training set using 3- NN? (Hint: The boundary is defined by a single real value.) [C] True or False (Justify): For any 2-class, linearly-separable Training set (e.g., the one given above), a 3-NN classifier will always have 100% accuracy on the Training set. (ii) Say we have a Training set consisting of 30 positive examples and 10 negative examples where each example is a point in a two-dimensional, realvalued feature space. [A] What will the classification accuracy be on the Training set with 1-NN? [B] What will the classification accuracy be on the Training set with 40-NN?",BT3
Use Y-? and ?-Y transformation to find Rth between points xy,BT3
Apply Norton’s theorem to find ‘I0’ in the circuit given,BT3
"For the circuit (fig.1.(c)) given find, i. Thevenin’s equivalent circuit at terminals A & B. ii. How much power would be delivered to a resistor connected to AB if RAB=5?",BT3
State and prove Maximum power transfer theorem for an AC circuit having impedance source & pure resistive load.,BT2
Determine the voltage ‘Vx’ across the 2? resistor using source transformation method,BT3
Solve for Vx & Vy using the supernode concept for the circuit,BT3
"Demonstrate Reciprocity theorem for the voltage across R, for the network",BT3
"A very long string of 400 multicolored outdoor lights is installed on a house. After applying power, the home owner notices two bulbs are burnt out. i) Are the lights connected in series or parallel? ii) After replacing the burnt bulbs the owner notices that the lights closest to the supply are approximately 10% brighter than the lights at the far end of the string, provide a suitable explanation keeping in mind that nothing in the string is zero ohms. iii) Assuming 115V ac supply, individual bulb rating of 1Watt, determine the power supplied by the supply",BT3
Find hybrid & ABCD parameters of the network,BT3
"In the circuit of Fig 4(a), the switch K1 & K2 are closed at t = 0 secs and switch K2 is opened at t = 5 ms. Find the expression for the resulting value of the current.",BT3
A unit pulse of width ‘a’ is applied to a RL series circuit. Determine the expression for the current. Given R = 1? and L = 1H,BT2
"derive the transfer function, find order of system, pole-zero location and frequency response.",BT3
"Refer the network shown in fig.5.(a), the switch ‘k’ is opens at t=0, at t=0+ solve for the values of ‘v’ & dv/dt, if I=2A, R=200? and L=1H.",BT3
Explain Series resonance with characteristics and derive the relation between resonant and half power frequencies,BT2
"An a.c series circuit consisting of a coil connected in series with a capacitor and resister. The circuit draws a maximum current of 10A when connected to 200V, 50Hz supply. If the voltage across the capacitor is 500V at resonance,find the parameters R, L & C of the circuit and Quality factor.",BT2
Design a circuit to allow a room light to remain ‘ON’ for 5Sec after the switch has been turned ‘OFF’. Assume 40W bulb and 115 Ohm AC supply.,BT3
Derive the expression for dynamic resistance and resonant frequency in parallel resonant tank circuit.,BT3
The switch in Fig.6(c) was open for a long time but closed at t = 0. Determine expressions for i and v.,BT3
"A parallel RLC circuit comprising of a capacitor BC=0.3S, inductor BL=0.1S and a conductor of G=0.2S are connected to a current source of 10 amperes. Determine the branch currents and plot the complete phasor diagram.",BT3
Find the input impedance of the circuit in Fig.7(b). Assume that the circuit operates at ? = 50 rad/s,BT3
The impedance in each phase of a three phase 440v delta system comprises 5 ohms resistance in parallel with a 5 ohms capacitive reactance. Calculate the phase and line currents and the total power consumed .Draw the phasor diagram.,BT3
"A three phase four wire system with line voltage of 400 v, 50 Hz supply has a star connected load of ZR= 10 L00 ohms, ZY=15L300 ohms, ZB=6-j5 ohms. Obtain the line currents and the current in the neutral conductor. Calculate the total power drawn. Draw the phasor diagram.",BT3
"Draw logic symbol of “AND"" gate",BT1
what are the main components of a finite automata,BT1
To what extent does hope affect our thoughts and actions,BT1
What role does seeking pleasure have in a teenager’s life,BT1
"For the electrical circuit of Fig., deduce the model equations and hence represent by signal-flow graph with v1 (input), v2, v3, i1, i2 and i3 (output) as variables.",BT3
In industrial manufacturing certain robot arm is required to control the position of the end piece. Fig.1b shows the model of a closed loop position control system where the controller gains kp and kd are to be determined so as to satisfy the following specifications (i) Closed loop poles placed at (-3.6 ±?) (ii) Peak-time=0.65 sec. From the above descriptions (i) Identify the design specifications in terms of damping ratio (? ) and angular frequency (?n)(ii)Deduce relations for Kp and Kd in terms of ? and ?n (iii) required gain settings (iv) Peak overshoot and settling time for these settings.,BT3
"Assuming under-damped unit step response of a second order control system, deduce expressions for peak-time and rise time. For a negative feedback control system, G(s)= (10s+72)/s(2s+6) and H(s)=1. Determine the peak overshoot, settling time and static error constants Kp, Kv and Ka.",BT3
"For the block-diagram shown in Fig., obtain the signal flow graph and determine the T.F C(s)/R(s) by applying Mason’s gain formula.",BT3
"First order field circuit model of a DC Generator is shown below where, Rf=50, Rs=1 and Lf=2.0. (i) If K=0.2, obtain an expression for unit step output response by selecting gain KA for zero steady-state error. (ii) If gain KA is varied from 80 to 120 in steps of 10, determine the values of gain K that give time constant ? 0.005 sec and plot in the parameter plane (KA, K) marking different regions of time constants. Also compute the corresponding steadystate error for unit step input and analyze the effect of KA variations on it.",BT3
"The depth control system of a submersible vehicle is shown in fig. below, where K=0.5 (i) If K2=0.5 and gain K1 has limits 5 ? K1 ? 20, obtain the unit step response with K1 selected for fasted response.(ii) If gain K1 is varied from 1.0 to 7.0 in steps of 1.0, determine the gain K2 values that give time constant ? 0.1 and plot in the parameter plane K1 - K2. Also compute the corresponding equivalent gain (Ke) and steady-state errors and comment on the effect of K1 variations on the steady-state error",BT2
"All elements in a row of Routh array are zero. What this indicates? How to overcome this situation? For a negative feedback control system, G(s)=(K2)/s(s2+s+1) and H(s)=1/(s+5). By applying RH criterion, determine the range of gain K over which the closed loop system is absolutely stable. Also investigate the stability and number of roots in RHS of s-plane when K=10 and K=0.5.",BT3
"For a simplified model of DC generator voltage control system, Gp(s)=1/(1+s)(2+s) and H(s)=1 . Design PID controller assuming Ki=0.1 so as to place two dominant closed loop poles at (-3±j4).",BT3
To what extent does our social class define how we are viewed and treated in society,BT1
The open loop T.F of a control system is G(s)H(s)=10/s(s+1)(s+5) . Sketch the approximate polar plot and analytically determine the gain margin.,BT2
"Figure shows the model of the control system for one joint of a robot arm. The controller is a PD given as. Now it is required to determine the combinational values of Kp and Kd (both positive) for which the closed loop system is absolutely stable. In this respect (i) By applying RH criterion, deduce an expression for limiting value of Kd as a function of Kp (ii) If Kp is varied, determine the corresponding limiting value of Kd and plot in the parameter plane (Kp, Kd) marking stable and unstable regions.",BT3
To what extent does racism affect religion,BT1
"The open loop T.F of a control system is G(s)H(s)=10/s(1+2s). Obtain the approximate polar plot and analytically determine the phase margin For a simplified model of a synchronous generator excitation control system, Gp(s)=0.8/(1+3s)(1+30s) and H(s)=1/(1+10s). Design PI and PID controllers using Zeigler-Nichol’s tuning approach. Determine ultimate gain and time period using RH criterion ",BT3
To what extent does culture affect our perception of right and wrong,BT1
"Briefly explain the procedure to compute gain and phase margins from Bode plot. For the Bode magnitude plot shown, determine Transfer function and",BT3
Sketch the asymptotic Bode magnitude plot and phase plot for the open loop transfer function G(s)H(s)=(1+2s)(1+0.1s)/s(s+0.5s),BT3
What role does “agency” have in people’s lives,BT1
"Briefly explain the angle criterion of root locus technique. With an example, list the rules to construct the root locus diagram.",BT2
Show that the complex part of the root locus of G(s)H(s)=K(s+2)/(s2+2s+3) is a circle,BT3
To what extent does having a sense of purpose affect how we view the world,BT1
"The input waveform available is a square waveform of amplitude 5V and frequency 1kHz. Using appropriate diode circuit, modify the amplitude of the waveform suitably retaining same value of frequency. Use this waveform to trigger a digital circuit. Justify your answer.",BT3
"Design a voltage divider bias BJT circuit to have VCE = VE = 5V and Ic= 5mA, when the supply voltage is 15V. Assume transistor hFE = 100.",BT3
What effect does history have on our views of privilege and power,BT1
The circuit given below consists of a non-linear diode. Determine VB (voltage across 5k?) using small signal model of diode.,BT3
What is the role of sound in society,BT1
Design an appropriate diode circuit for the transfer function given below. Analyze the circuit and draw input output waveforms.,BT3
To what extent are all languages connected and how does that affect our overall BT1,BT1
The input voltage ???? (??)to the two level clipper shown in Fig.2a varies linearly from 0 to 150 V. Sketch the transfer characteristics assuming diodes are ideal,BT3
To what extent does humor reflect our ethics and morals,BT1
How does our outer appearance interact with our inner life to make us who we are,BT1
Does the pursuit of money help or hinder us in our efforts to become the best people we can be,BT1
Determine voltages at all nodes and the currents through all branches. Let ???? = 1?? and???? ? ( ???? ???? ) = 1????/?? 2 . Neglect channel length modulation.,BT3
Can you make a ml model for self learn,BT5
What drives people to be cruel,BT1
"Calculate the base, collector and emitter currents and VCE for a common emitter circuit given below. Also determine the transistor power dissipation.",BT3
To what extent is someone’s poverty their own fault,BT1
Draw input and output characteristics of nMOS for increasing value of length and oxide thickness.,BT3
Under what circumstance are people willing to be consistent or non-consistent with their sense of morality,BT1
"Determine Zi, Zo, Av and Q(VCEQ , ICQ) of the circuit given below. Assume ????? = 180 , ????? = 2.7??? and ?0?? = 25µ?????",BT2
What is the price of happines,BT1
"For the circuit given below, find the labelled node voltages. The nMOS transistors have ???? = 1?? and ???? ? ( ???? ???? ) = 2????/?? 2 . Neglect channel length modulation",BT3
To what extent do we let our emotions dictate or actions,BT1
"For a CD amplifier, find the expression for ???? , ??????, ????, ???????? highlighting the effect of ??0 .",BT3
Which one,BT1
Design the circuit shown below to establish a dc drain current of 0.5mA. The MOSFET is specified to have ???? = 1?? and ???? ? ( ???? ???? )=1mA/V2 .For simplicity neglect the channel length modulation. ?????? = 15?? calculate the percentage change in the value of Id obtained when the MOSFET is replaced with having same ???? ? ( ???? ???? ) but ???? = 1.5?,BT3
Who was,BT1
The NMOS and PMOS transistor in the circuit shown below are matched with ???? ? ( ???? ???? ) = ???? ? ( ???? ???? ) = 1 ???? ?? 2 ? and ?????? = ??????? = 1??. Assuming ?? = 0 for both the devices. Find the drain currents and ????????????as well as voltage ????for i)???? = 0?? ii) ???? = ?2.5??iii) ???? = +2.5?,BT3
How would you describe law of attraction,BT1
Who were the main,BT1
A student is assigned a task to design an amplifier circuit to amplify an audio signal. The circuit chosen by,BT3
 Can you list three names of cricketer,BT1
"Using two transistors Q1 and Q2 having equal lengths but different widths related by W2/W1 = 5. Design the circuit of basic current mirror to obtain I=0.5mA. Let?????? = 5??, Kn(W/L)1 =0.8mA/V2 , ???? = 1.5?? and ?=0. Find the required value of R? What is voltage at the gates of Q1 and Q2? What is the lowest voltage allowed at the drain of Q2 while Q2 remains in the saturation region?",BT2
Where is Mount Everest,BT1
"Draw the small signal model for common gate amplifier and derive the expression for input, output impedance and voltage gain.",BT2
"An NMOS transistor has µ???????? = 60µ??/?? 2 , ?? ?? = 40, ???? = 1.5?? and ???? = 15?? (a) find ???? and ??0 when VGS=1.5v (b) find gm and r0 when ID=0.5mA",BT2
"An amplifier with negative feedback has a voltage gain of 120. It is found that without feedback, an input signal of 60mV is required to produce a particular output. Find the Av and ? of the amplifier.",BT2
Discuss the general characteristics of a negative feedback amplifier.,BT2
"Derive an expression for input and output resistance of a voltage shunt feedback amplifier, and explain.",BT2
Explain the classification of power amplifiers based on the location of the operating point with neat diagrams.,BT2
When did mahatma gandhi dies,BT1
Explain the operation of transformer coupled amplifier with neat circuit diagram and derive the expressions for maximum efficiency,BT2
"A class B power amplifier is delivering an output voltage of 10 volts peak to an 8 ? load, if the DC power supply is 30 volts; calculate i) DC power input. ii) AC power delivered to the load iii) Conversion efficiency iv) Power dissipated in the collector of each transistor.",BT3
"Let ??(??) be a continuous time signal, and let ??1 (??) = ??(2??) and ??2 (??) = ??(???2) .The signal ??1 (??) represents a speeded up version of ??(??) similarly ??2 (??) represents a slowed down version of ??(??). Consider the following statements i) If ??(??) is periodic , then ??1 (??) is periodic ii) If ??2 (??) is periodic , then ??(??) is periodic For each of these statements, determine whether it is true, and if so, determine the relationship between the fundamental periods of the two signals considered in the statement. If the statement is not true, produce a counterexample to it.",BT3
"Consider the capacitor circuit shown in fig below. Let input ??(??) = ??(??) and output ??(??) = ???? (??) i) Find the input-output relationship ii) Determine the system is a) memory less, b)Causal c)Linear d) Stable e) Time-invariant.",BT3
"Obtain the direct form-I, direct form-II for the following system which is represented in difference equation form. ??(??) = ?0.1??(?? ? 1) + 0.2??(?? ? 2) + 3??(??) + 3.6??(?? ? 1) + 0.6??(?? ? 2)",BT2
Classify the following signals according to whether they are (1) one or multi-dimensional (2) continuous time or discrete time and (3) analog or digital (amplitude). Justify,BT3
"Consider the interconnection of LTI system shown in fig below, i)Express overall impulse response in terms of ?1 (??), ?2 (??), ?3 (??) and ?4 (??)with all intermediate step",BT3
Sketch and label the following signals. i)??(??) = ???(?? + 3) + 2??(?? + 1) ? 2??(?? ? 1) + ??(?? ? 3) ii)??(??) = ??(?? + 2) ? ??(?? + 1) ? ??(?? ? 1) + ??(?? ? 2),BT2
"An audio signal s(t) generated by a loud speaker is reflected at two different walls with reflection coefficients ??1, ??2. The signal ??(??) recorded by a microphone close to the loud speaker, after sampling, is ??(??) = ??(??) + ??1??(?? ? ??1 ) + ??2??(?? ? ??2 ). Where ??1 and ??2 are the delays of two echoes. Determine autocorrelation ??????(??) of the signal ??(??).",BT3
"Determine the total solution ??(??), ?? ? 0to the difference equation ??(??) + ??1??(?? ? 1) = ??(??)when ??(??)is a unit step sequence and ??(?1)is initial condition",BT2
 Can you recall formula of quadratic equation,BT1
"Show that any signal can be decomposed into an even and an odd component. Is the decomposition is unique? Illustrate your arguments using the signal ??(??) = {2,3, 4, 5,6}",BT2
"Given sequences ??1 [??] = {1,1,2,1}??2 [??] = {1,2,3,4} find ??3 [??]such that ??3 (??) = ??1 (??)??2 (??)using DFT and IDFT method.",BT2
"For an instance digital audio has long input data sequence ??[??] = {1,2, ?1,2,3, ?2, ?3, ?1,1,1,2, ?1}and ?[??] = {1,2} which are running at a rate of 5Mbytes /min. With this high data rate, it is common for computers to have insufficient memory to simultaneously hold the entire signal to be processed. Suggest a method to process the data segment by segment so that computers with insufficient memory can also handle the long data sequence which are running at high speed.",BT3
"Determine Fourier series co-efficients of a periodic signal ??[??] = {1,1,0,0}with period N=4 also plot its magnitude and phase spectrum.",BT2
"Compute circular convolution of the sequences ??[??] = {1,2,3,1} and ?[??] = {4,3,2,2} such that it is equivalent to linear convolution of the of the same sequences.",BT3
"Find the Fourier Transform of ??(??) = 1 2 (???1) . If you have used any property while determining ??(??), state it.",BT2
How would you explain harmonic motion,BT1
"Compute IDFT of sequence ??[??] = {7, ?0.707 ? ??0.707, ???, 0.707 ? ??0.707,1,0.707 + ??0.707,??, ?0.707 + ??0.707}using Radix-2 decimation in frequency FFT algorithm. Keep track of all intermediate results and show them on butterfly diagram.",BT3
"The impulse response of an LTI system is given by ?(??) = ??(??) ? 1 4 ??(?? ? ??0 ). To determine the impulse response ??(??) of the inverse system, an engineer computes the N-point DFT, ?? = 4??0, of ?(??) and then defines ??(??) as the inverse DFT of ??(??) = 1 ??(??) , ?? = 0,1,2 … , ?? ? 1. Determine ??(??) and the convolution?(??) ? ??(??), and comment on whether the system with impulse response ??(??) is the inverse of the system with impulse response ?(??) .",BT3
Convert the analog filter whose transfer function is given by ??(??) = 2 (??+1)(??+2) to digital filter using impulse invariance method. Assume T=1 sec,BT2
"With the analysis of the Electrocardiogram (ECG) signal it is possible to predict heart problems or monitor patient recovery after a heart intervention. But The quality of biomedical signal is degraded mainly by many sources of noise so it is required to design a digital filter with Chebyshev approximation for the specifications???? = 3????, ???? = 16????, ???? = 1??????, ???? = 2??????. to overcome degradation by improving ECG signal quality for quality clinical diagnosis.",BT3
"Design a filter with frequency response ????(?? ?????) = { ?? ???3??, ??? 4 ? ?? ? ?? 4 0, ?? 4 < |??| ? ??",BT3
"Design an ideal Hibert transformer with frequency response ????(?? ????) = { ??, ??? ? ?? ? 0 ???, 0 ? ?? ? ?? using rectangular window for N=11",BT3
"State and prove ampere-second balance and volt-second balance. Also, establish the relationship between input voltage and output voltage for buck and boost type DC-DC converters by applying ampere-second balance to the capacitor.",BT3
A non-sinusoidal periodic voltage has a Fourier series of v(t) = 10 +20 cos(2?60t -250)+30 cos(4 ? 60t +200) V. This voltage is connected to a load that is a 5? resistor and a 15-mH inductor connected in series. Determine the power absorbed by the load.,BT2
Show that rms value of a sinusoid is the peak value divided by ?2 . Give two examples to show that this is generally not the case for other periodic waveforms.,BT2
"A buck converter has an input voltage that varies between 50 and 60 V and a load that varies between 75 and 125 W. The output voltage required by load is 20 V with allowable ripple of 1%. For a switching frequency of 100 kHz, Design system components to provide for continuous current for every operating possibility.",BT3
"An electric resistance space heater rated at 1500 W for a voltage source of ??(??) = 120?2 sin(2?60t) V has a thermostatically controlled switch. The heater periodically switches on for 5 min and off for 7 min. Determine (i) the maximum instantaneous power, (ii) the average power over the 12-min cycle, and (iii) the electric energy converted to heat in each 12 min cycle. A non-sinusoidal periodic voltage has a Fourier series of",BT3
"With necessary equivalent circuit diagrams and relevant waveforms of a SEPIC converter in CCM, derive expressions for voltage gain and current gain.",BT2
Explain how amplitude and harmonics are controlled in a single phase voltage source inverter simultaneously using relevant waveforms. Also derive an expression for the rms value of output voltage in terms of dc link voltage and delay angle,BT2
Judge the value of nobality,BT6
Can you select the best fish whoes smelling power is more,BT1
"A certain situation requires that either 160 or 75 W be supplied to a 48 V battery from a 120 V rms 60 Hz ac source. There is a two-position switch on a control panel set at either 160 or 75. Design a single circuit to deliver both values of power, and specify what the control switch will do. Specify the values of all the components in your circuit. The internal resistance of the battery is 0.1 ?.",BT3
"Design an inverter that has a PWM output across an RL series load with R=10? and L=20mH. The fundamental frequency of the output voltage must be 120 V rms at 60Hz, and the total harmonic distortion of the load current must be less than 8 percent. Specify the dc input voltage, the amplitude modulation ratio ma, and the switching frequency (carrier frequency). State the assumptions and approximations clearly involved in design process",BT3
"Show that the controlled half-wave rectifier and full wave rectifier with a resistive load have the power factor of 1 sin 2 2 2 4 HW pf ? ? ? ? = ? + and sin 2 1 2 FW pf ? ? ? ? = ? + Also, explain the significance of power factor in rectifier circuits",BT2
Can you defend your position about your iq level,BT6
"The full-bridge inverter has a switching sequence that produces a square wave voltage across a series RL load. The switching frequency is 60 Hz, Vdc =100 V, R=10 ?, and L=25 mH. Determine (a) an expression for load current, (b) the power absorbed by the load, and (c) the average current in the dc source.",BT3
"Design a circuit that will deliver 100 W to a 48 V dc source from a 120 V rms 60 Hz ac source. Give alternative circuits that could be used to satisfy the design specifications, and give reasons for your selection.",BT3
Explain application of ac voltage controller to maintain a unity power factor for varying load VAR requirements,BT2
"Light-dimmer for ambient lighting consists of incandescent light bulb for use in USA (with 120 V rms, 50Hz). Bulb is measured to consume 500 W of power for particular lighting condition. Design suitable circuit to meet the requirements. Assume the bulb to be purely resistive with resistance of 15 ohms.",BT3
How would you assemble these items to create a windmill,BT5
"With a neat circuit diagram and waveforms, explain low side driver circuits for MOSFET and IGBT.",BT2
Do you think there is a good a bad thing from mind and heart,BT6
"For a BJT in its high switching frequency application of 50kHz, spike of 1A at the turn-on is observed. The current reduces to 0.2 A post switching transients in the on state. Design a circuit to cater to driving requirements for BJT for high switching application.",BT3
Design the following circuit to provide the output voltage V0 of 3.8V. Assume that the diodes have 0.7V drop at 1mA and ?V=0.1V/decade change in current.,BT3
"Derive the DC bias currents IB, IC, IE, VCE and SICO for voltage divider biasing using BJT. Draw the DC load line and locate the operating point. With the help of sequence of events show how the operating point is stabilized.",BT2
Design a circuit using suitable components to obtain the following input- output characteristics and explain the working of the same.,BT3
The input voltage Vi to the circuit shown below varies linearly from 0 to 150V. Sketch the output waveform. Assume diodes as ideal.,BT3
List different diode models. Explain any three models in detail.,BT2
"Identify the circuit and plot the output waveform if the input signal Vi shown below is applied. Given C=1µF, V= 5V, cut in voltage of the diode V?=0.7V",BT3
"Identify the following amplifier configuration and determine the DC bias voltages and currents to locate the Q-point. Compute various amplifier parameters when R1=68k?, R2=12k?, VCC=18V, RC=2.2k?, RE=1.2k?, hfe=180, hie=2.75K?, hoe=25µmho.",BT3
How would you have handled the situation when there is fight about secularism,BT6
Prove that rd = nVT/ID for a small signal diode model with necessary circuit diagram and transfer characteristics curve.,BT2
"Draw the steady state output waveform for the following circuit indicating maximum and minimum value of the output. Given Rr=2M?, Rf=0? cut-in voltage of diode = 0V, input voltage is 5KHz square wave varying between +10V and -10V.",BT3
"Find the values of circuit elements shown below for given current ID of 0.4mA, VD=0.5V, Vt=0.7V, ?nCox= 100mA/V2 , L=1?m & W=32?m VDD=-VSS=2.5V. Neglect channel length modulation effect.",BT3
Design the circuit elements as shown in below figure to establish a DC drain current of 0.5mA. The NMOS is specified to have Vt=1V and kn’(W/L)=1mA/V2 and ?=0. Calculate the percentage change in the value of ID obtained when the MOSFET is replaced with another MOSFET having same kn’(W/L) but Vt=1.5V,BT3
Do you believe that you can become good teacher,BT6
"Draw the DC equivalent, AC equivalent and small signal equivalent model for common gate amplifier and derive the expressions for input, output impedance and voltage gain.",BT3
Derive an expression for drain current ID for NMOS in different regions of operation.,BT3
"Consider common source amplifier with constant current source biasing technique where VDD= -VSS =15V, current I=0.5mA, RG=4.7M?, RD=10K?, Vt=1.5V and Kn’(W/L)=1mA/V2 . Determine the Q-points and all the amplifier parameters assuming VA=75V.",BT3
"Using two transistors Q1 and Q2 having equal lengths but different widths related by W2/W1 = 5. Design a circuit that replicates current and obtain I=0.5mA. Let VDD=5V, kn’(W/L)1= 0.8mA/V2 , Vt=1V and ?=0. Find the required value of R? What is voltage at the gates of Q1 and Q2? What is the lowest voltage allowed at the drain of Q2 while Q2 remains in the saturation region?",BT3
How would you feel if you lost a big match,BT6
How would your life be different if you could breathe under water,BT5
Explain the working of N-channel enhancement mode MOSFET with relevant diagrams.,BT2
"The NMOS transistors used in the following circuits have Vt=1V, ?nCox= 120 µA/V2 , ?=0, L1=L2=L3=1?m. Find the equivalent values of gate widths for each of transistors to obtain voltage values as indicated in the figure and current of 120µA.",BT3
"A drain current of 115µA and drain voltage of 3.5V is to be developed across the MOSFET shown in below figure, obtain the value of R to meet the requirement. Given Vt= -0.7V, VDD=5V µpCox=60µA/V2 , L=0.8µm and ?=0. Determine the width of the channel.",BT3
"An amplifier with negative feedback has a voltage gain of 120. It is found that without feedback, an input signal of 60mV is required to produce a particular output. Find the Av and ? of the amplifier.",BT2
Discuss the general characteristics of a negative feedback amplifier.,BT2
Construct a tower one foot tall using only four blocks,BT5
"Derive an expression for input and output resistance of a voltage shunt feedback amplifier, and explain.",BT3
Explain the classification of power amplifiers based on the location of the operating point with neat diagrams.,BT2
"A class B power amplifier is delivering an output voltage of 10 volts peak to an 8 ? load, if the DC power supply is 30 volts; calculate i) DC power input. ii) AC power delivered to the load iii) Conversion efficiency iv) Power dissipated in the collector of each transistor.",BT3
"A loud speaker with an 8 ohm input resistance requiring a power of 0.5 W is to be driven by the following amplifier configuration. VCC is a 9V battery, and the identical transistors have VCEsat = 0.5 V and IBEO=0. Select a suitable turn’s ratio for output transformer.",BT3
"The vehicle is to be started on a cold winter morning, and then has to navigate hilly terrains. How does the engine cope-up with the different requirements as the vehicle goes from start to cruising? Suggest a design strategy using different control modes with appropriate details.",BT3
Put these words together to form a complete sentence,BT5
"What is Stoichiometric ratio? i) Calculate Lambda if air fuel ratio is 13.2. ii) Determine the fuel injector pulse duration (base pulse width Tw) and fuel quantity for the eight cylinder fully warmed up and very cold engine running at 4000 rpm, having a fuel flow rate of 0.0022Kg/sec and mass air flow rate of 0.0035Kg/sec.",BT3
"For the development of an Engine ECU, apply MBD approach adhering to automotive V design model.",BT3
"With MAF sensor malfunctioning as detected by the engine control system diagnostic function, how engine control system can work effectively as possible with other existing sensor information for calculating the mass air flow rate",BT3
What do you think about your work so far,BT6
Assume a vehicle is running at a fixed rpm of 8000 and further the driver demands for increase in speed. How the engine ECU handles driver’s request using ignition timing? Suggest a suitable Instrumentation system with related electronics for closed loop control of ignition timing.,BT3
"Vehicle is moving with a high speed; suddenly the driver applies the brakes, what is the physical consequence of this condition on wet and dry surface? Provide a suitable control system/electronic solution to avoid the damage",BT3
"What do you mean by Engine Mapping? For the engine operating in closed loop mode how the variations in, i) Exhaust gas recirculation ii) Air fuel ratio and iii) Ignition timing affect its performance. Show with the necessary plots",BT2
laborate on different segments of automotive industry and also discuss about automotive supply and value chain.,BT2
"Vehicle is moving on an icy surface with the engine rpm of 4000, but the vehicle is unable to move forward, what is the physical consequence of this condition? Provide a control system solution to overcome this problem",BT2
"Describe the control system which provides a solution for wheel spinning, and discuss the related control functions. Brief on operating sequence of drivers air bag.",BT2
"Compare event driven and time triggered communication strategies. Calculate nominal and maximum THeader ,TResponse and TFrame, if LIN is operating at 10Kbps baud rate and reserved time is set to 30% for transmitting two bytes of data.",BT3
What is ride and handling of an automobile? How electronic suspension system manages the compromise between ride comfort and handling.,BT2
"Discuss the physical mechanism of wheel lock and vehicle skid that can occur during braking; How the ABS configuration provides a solution for this. If the vehicle longitudinal acceleration is zero, i) Calculate the wheel slip if vehicle speed is matching with wheel speed? ii) Calculate wheel slip for Fl(Front left) and Fr(Front right), when vehicle speed is 70kph and WssFl(Wheel speed front left) and WssFr(Wheel speed front right) are reading 67kph and 69kph respectively iii) Calculate wheel slip when panic braking is done at 150kph and ABS is shut down due to pump failure?",BT3
How to improve the efficiency/performance/reliability of engine control unit by adding any extra sensors for the existing system? Mention the significance of sensors & related variables to be measured for engine control system.,BT3
"Assume that the driver has activated the cruise control switch set for the desired speed of (say, 60 mph). For the following conditions determine the action of throttle , controlled by the suitable control algorithm ; i) If the car is travelling on a level road ii) If the car were then to enter a long hill with a steady positive slope (i.e., a hill going up). Optimize the system for following performance parameters, 1. Quick response 2. Relative stability 3. Small steady-state error 4. Optimization of the control effort required",BT3
"Answer the following with respect to CAN communication i) The CAN node receives the message as 1011110, state whether the received information is error free or not. Assume CRC with a generator polynomial as 1011. ii) How small nodes can be kept from overloading with received messages iii) Message prioritization in case of CAN protocol. iv) Draw the message sequence seen by the CAN bus for the given scenario.",BT2
Explain the construction and working principle of magnetic reluctance angular position sensor. What is the drawback of this sensor and how it is overcome? Discuss the operation of fuel injector.,BT2
"The fast moving car is turning at the corner, if the vehicle is turning less/more than the driver’s intention suggest a suitable control system along with the break circuit configuration to overcome this condition.",BT3
For an electric vehicle propulsion system the hazardous event is described as “Un intended vehicle acceleration during a low speed maneuver amongst pedestrians”. Perform suitable hazard analysis and risk assessment for this case,BT2
An engine going through cold cranking the air/fuel ratio is not able to be controlled. Analyze the possible faults.,BT3
"The CAN node has to transmit the speed sensor information from engine ECU to ESP ECU. The size of the information of 5 bits, show how this message is transmitted, and discusses how the CAN receiver node determines whether the message is error free or not.",BT3
A 2015 Audi A8 was having a problem with rough running which in turn was causing the engine management light to illuminate. Analyze the possible faults,BT3
Analyze the impact of Semi-custom and Full-custom VLSI design styles based on design cycle time and the achievable circuit performance.,BT2
"What are the limitations of planar VLSI technology, and discuss the advantages and challenges in 3D devices like FinFET devices.",BT2
"In VLSI fabrication, oxides in varying thickness and compositions are used for different processes. Discuss each of them with relevant examples.",BT2
"Discuss the capacitance modeling of an nMOS device during cutoff, linear and saturation.",BT2
"Design an AOI221 gate using fully CMOS logic, so as to achieve same transient performance as that of a reference CMOS Inverter.",BT3
"Solve the node voltages in the arrangements given below if Vtn = 0.6V and Vtp = -0.6V. What may happen to the output voltage, if the back-gate effect is also considered?",BT3
An inverter needs to be fabricated using planar CMOS technology in a twin-tub process. Illustrate the fabrication steps with cross-sectional views and appropriate masks used at each stage.,BT3
"A circuit designer has a choice to implement combinational logic using NAND or a NOR network. Justify the selection if performance is the criteria, and analyze the speed of a 1 to 0 transition as shown below. The output cap has a value of Cout=130fF, while the internal values are C1=C2=36fF. The transistors are identical with ?n=2.0mA/V2 in a process where VDD=3.3V & VTn=0.7V. i. Find the discharge time constant for Cout=130fF using the ladder RC network. ii. Find the time constant if we ignore C1 & C2. iii. What is the percentage error introduced if we do not include the internal capacitors?",BT3
Discuss the phenomenon of latch-up and illustrate ways of dealing with it in CMOS VLSI design.,BT2
